race;cat;type;bike;dist_km;gain_m;avg_bpm;avg_watt;avg_rpm;date;rank;total_entries;percent_rank;time;win_time;time_back;percent_time;score
Tesserete;Fun Masters;XC;Yeti ASR-R;20.0;500;;;;10.04.2011;25;39;64.1;01:36:47;01:17:47;00:19:00;124.4;37.50
Solothurn;Fun Masters;XC;Yeti ASR-R;21.4;524;;;;08.05.2011;42;57;73.7;01:13:04;00:57:06;00:15:58;128.0;27.59
Transalp 1.;Men;XCM;Yeti ASR-R;95.8;2348;;;;16.07.2011;193;228;84.6;06:00:53;03:34:51;02:26:02;168.0;15.72
Transalp 2.;Men;XCM;Yeti ASR-R;68.8;2911;;;;17.07.2011;163;222;73.4;05:49:05;03:13:11;02:35:54;180.7;26.91
Transalp 3.;Men;XCM;Yeti ASR-R;94.0;2154;;;;18.07.2011;158;218;72.5;05:35:32;03:40:39;01:54:53;152.1;27.85
Transalp 4.;Men;XCM;Yeti ASR-R;72.3;3524;;;;19.07.2011;148;213;69.5;06:29:09;03:41:01;02:48:08;176.1;30.84
Transalp 5.;Men;XCM;Yeti ASR-R;73.6;2618;;;;20.07.2011;131;206;63.6;03:30:00;02:17:17;01:12:43;153.0;36.71
Transalp 6.;Men;XCM;Yeti ASR-R;72.7;3147;;;;21.07.2011;136;196;69.4;06:12:57;03:33:48;02:39:09;174.4;30.96
Transalp 7.;Men;XCM;Yeti ASR-R;109.0;2433;;;;22.07.2011;141;192;73.4;06:20:58;04:00:40;02:20:18;158.3;26.94
Transalp 8.;Men;XCM;Yeti ASR-R;76.2;2163;;;;23.07.2011;137;188;72.9;04:54:25;03:00:12;01:54:13;163.4;27.51
Tesserete;Fun Masters;XC;Yeti ASR-R;20.0;500;;;;22.04.2012;26;31;83.9;01:45:19;01:18:18;00:27:01;134.5;18.75
Lyss;Senioren 1;RR;Cube Agree;67.2;800;;;;12.05.2012;40;69;58.0;02:03:16;01:51:01;00:12:15;111.0;42.86
Biennathlon;Mixed;XC;Yeti ASR-R;25.0;765;;;;16.06.2012;43;125;34.4;01:38:06;01:12:40;00:25:26;135.0;65.87
Solothurn;Fun Masters;XC;Cube Reaction;21.4;524;;;;05.05.2013;30;41;73.2;01:13:03;01:01:05;00:11:58;119.6;28.57
Seon;Fun 1;XC;Cube Reaction;21.0;500;;;;26.05.2013;15;26;57.7;01:10:55;00:58:57;00:11:58;120.3;44.44
Biennathlon;Open;XC;Cube Reaction;24.5;768;;;;02.06.2013;18;135;13.3;01:24:26;01:06:42;00:17:44;126.6;86.76
Black Forest;Senioren 1;XCM;Cube Reaction;77.0;2000;;;;23.06.2013;78;432;18.1;03:59:10;03:11:29;00:47:41;124.9;81.99
Giga Neuchatel;Team of Five;XCM;Cube Reaction;66.3;1600;165;;;13.07.2013;28;176;15.9;03:28:41;02:50:35;00:38:06;122.3;84.18
Tri Zürich;Firmen Relay;RR;Cube Agree;25.0;161;177;;;27.07.2013;83;447;18.6;00:45:44;00:40:15;00:05:29;113.6;81.47
Eiger;Fun 2;XCM;Cube Reaction;89.5;4164;;;;11.08.2013;52;77;67.5;06:58:32;05:06:26;01:52:06;136.6;33.33
Elsa;Fun 2;XCM;Epic;61.7;1637;;;;08.06.2014;84;178;47.2;03:20:26;02:40:41;00:39:45;124.7;53.07
Biennathlon;Open;XC;Epic;26.0;815;;;;22.06.2014;14;113;12.4;01:12:13;01:05:50;00:06:23;109.7;87.72
Tamaro;Fun Masters;XC;Epic;15.0;532;;;;29.04.2015;7;14;50.0;01:04:23;00:56:49;00:07:34;113.3;53.33
Gippingen;Herren;RR;Cube Agree;60.6;827;;;;13.06.2015;41;82;50.0;01:45:29;01:36:22;00:09:07;109.5;50.60
Biennathlon;Open;XC;Epic;29.7;849;;;;21.06.2015;12;109;11.0;01:30:10;01:12:25;00:17:45;124.5;89.09
Speuzer Trophy;All;XCM;Epic;20.5;756;;;;29.08.2015;2;36;5.6;01:02:01;01:01:57;00:00:04;100.1;94.59
Iron Bike;Fun 2;XCM;Epic;77.6;2554;;;;27.09.2015;45;155;29.0;04:22:38;03:30:35;00:52:03;124.7;71.15
Elsa Trophy;Fun 2;XCM;Epic;57.7;1611;;;;12.06.2016;40;107;37.4;03:30:00;02:51:36;00:38:24;122.4;62.96
Biennathlon;Open;XC;Epic;29.1;870;;;;19.06.2016;10;74;13.5;01:33:19;01:15:15;00:18:04;124.0;86.67
San Gottardo;M U40;RR;Allez DSW;110.0;3000;;;;24.07.2016;63;127;49.6;03:09:00;02:13:59;00:55:01;141.1;50.78
Odenwald;Langdistanz;XCM;Epic;58.8;1700;;;;18.09.2016;20;54;37.0;03:48:00;02:43:59;01:04:01;139.0;63.64
Quer Pfaffnau;Jederman;CX;Prime CX;7.9;246;;;;29.10.2016;27;43;62.8;00:29:00;00:23:23;00:05:37;124.0;38.64
Flückiger Cross;Jederman;CX;Prime CX;8.1;149;;199;86;13.11.2016;24;52;46.2;00:31:17;00:28:08;00:03:09;111.2;54.72
Eschenbach;Jederman;CX;Prime CX;11.7;284;;193;93;11.12.2016;29;63;46.0;00:37:14;00:31:14;00:06:00;119.2;54.69
Eggberg;Men 1;XCM;Epic;48.0;1450;;;;08.04.2017;76;106;71.7;02:40:00;01:56:56;00:43:04;136.8;28.97
Basel Land;Open;XCM;Epic SW;85.0;2200;;;;19.08.2017;29;65;44.6;04:47:37;03:36:05;01:11:32;133.1;56.06
Eschenbach;For All;XC;Epic SW;18.5;473;;;;03.09.2017;24;40;60.0;01:02:24;00:53:07;00:09:17;117.5;41.46
Supercross;For All;CX;Prime CX;9.6;239;;204;87;17.09.2017;33;92;35.9;00:37:16;00:32:00;00:05:16;116.5;64.52
Lostorf;Fun Herren 1;XC;Epic SW;21.1;724;167;;;25.03.2018;15;22;68.2;01:28:15;01:12:19;00:15:56;122.0;34.78
Uhwiesen;Herren 1;XC;Epic SW;17.15;703;173;;;07.04.2018;14;27;51.9;01:20:30;01:07:35;00:12:55;119.1;50.00
Eierlesen;Open;XC;Epic SW;18.7;382;174;;;29.04.2018;5;43;11.6;00:50:23;00:47:23;00:03:00;106.3;88.64
